
country,year,bank_z_score,capital_adequacy_ratio,credit_private_sector,gdp_growth,inflation,npl_ratio,credit_growth,ecb_refi_rate,interest_rate,credit_growth_log,unemployment
AT,2000,19.72025,13.3,,3.18952292988787,1.36731376651514,,,4.75,4.75,,4.687
AT,2001,16.91526,13.7,89.7803638574187,1.31698749571339,1.93728378622546,,1.744529863985811,3.25,3.25,,4.007
AT,2002,18.45342,13.3,88.718096960876,1.48436877605324,1.10421528982809,,-1.1831839958119428,2.75,2.75,-1.1902393245526888,4.852
AT,2003,22.30898,14.5,87.9545213374514,1.14156504542775,1.26700269317527,,-0.8606762876815721,2.0,2.0,-0.8644014961007862,4.779
AT,2004,20.84649,12.4,88.0861722590027,2.56525534067859,1.72796196359026,,0.1496806753642499,2.0,2.0,0.1495687654990973,5.969
AT,2005,21.3399,11.8,94.6325863976671,2.32036514266782,2.53196784657297,,7.431829503745213,2.25,2.25,7.168631627397115,5.682
AT,2006,24.19893,13.2,94.7785280472083,3.26933601506059,2.04461997957617,2.73942939162815,0.1542192336664305,3.5,3.5,0.1541004379277843,5.32
AT,2007,39.46163,12.7,93.183321689626,3.77522468729185,2.25927088756023,2.24246731582086,-1.6830883433721855,4.0,4.0,-1.6974132364540928,4.909
AT,2008,23.25911,12.9,96.1263148590629,1.45330562142114,1.93379071320683,1.90306942802893,3.1582831735054384,2.5,2.5,3.109435252039283,4.198
AT,2009,35.85314,15.0,98.004316324417,-3.58626472551299,1.73939280154138,2.25042258658752,1.9536809125654693,1.0,1.0,1.9348415457260515,5.371
AT,2010,23.39857,15.441363,98.8057817503699,1.80898243043663,0.891338694909649,2.83071715205898,0.8177858445538977,1.0,1.0,0.8144600954832271,4.883
AT,2011,23.6625,15.826911,96.3308714596656,2.92746800169145,1.81993743804168,2.70681550509306,-2.504823348250096,1.0,1.0,-2.536727944644479,4.637
AT,2012,22.59156,16.960703,94.4747330619808,0.628246239479637,2.09166476490424,2.81336476630545,-1.9268365058463963,0.75,0.75,-1.945641959261657,4.909
AT,2013,27.50797,17.969326,92.9373304589254,-0.250726423318454,1.70872288191161,2.86654169526513,-1.6273161651028656,0.25,0.25,-1.6407023772703866,5.367
