
country,year,short_nominal_cs
AT,2000,4.85
AT,2001,3.35
AT,2002,2.85
AT,2003,2.1
AT,2004,2.1
AT,2005,2.35
AT,2006,3.6
AT,2007,4.1
AT,2008,2.6
AT,2009,1.1
AT,2010,1.1
AT,2011,1.1
AT,2012,0.85
AT,2013,0.35
AT,2014,0.1500000007450581
AT,2015,0.1500000007450581
AT,2016,0.1
AT,2017,0.1
AT,2018,0.1
AT,2019,0.1
AT,2020,0.1
AT,2021,0.1
AT,2022,2.6
BE,2000,4.95
BE,2001,3.45
BE,2002,2.95
BE,2003,2.2
BE,2004,2.2
BE,2005,2.45
BE,2006,3.7
BE,2007,4.2
BE,2008,2.7
BE,2009,1.2
BE,2010,1.2
BE,2011,1.2
BE,2012,0.95
BE,2013,0.45
BE,2014,0.2500000007450581
BE,2015,0.2500000007450581
BE,2016,0.2
BE,2017,0.2
BE,2018,0.2
BE,2019,0.2
BE,2020,0.2
BE,2021,0.2
BE,2022,2.7
CY,2000,5.05
CY,2001,3.55
CY,2002,3.05
CY,2003,2.3
CY,2004,2.3
CY,2005,2.55
CY,2006,3.8
CY,2007,4.3
CY,2008,2.8
CY,2009,1.3
CY,2010,1.3
CY,2011,1.3
CY,2012,1.05
CY,2013,0.55
CY,2014,0.3500000007450581
CY,2015,0.3500000007450581
CY,2016,0.3
CY,2017,0.3
CY,2018,0.3
CY,2019,0.3
CY,2020,0.3
CY,2021,0.3
CY,2022,2.8
DE,2000,4.9
DE,2001,3.4
DE,2002,2.9
DE,2003,2.15
DE,2004,2.15
DE,2005,2.4
DE,2006,3.65
DE,2007,4.15
DE,2008,2.65
DE,2009,1.15
DE,2010,1.15
DE,2011,1.15
DE,2012,0.9
DE,2013,0.4
DE,2014,0.20000000074505808
DE,2015,0.20000000074505808
DE,2016,0.15
DE,2017,0.15
DE,2018,0.15
DE,2019,0.15
DE,2020,0.15
DE,2021,0.15
DE,2022,2.65
EE,2000,5.0
EE,2001,3.5
EE,2002,3.0
EE,2003,2.25
EE,2004,2.25
EE,2005,2.5
EE,2006,3.75
EE,2007,4.25
EE,2008,2.75
EE,2009,1.25
EE,2010,1.25
EE,2011,1.25
EE,2012,1.0
EE,2013,0.5
EE,2014,0.3000000007450581
EE,2015,0.3000000007450581
EE,2016,0.25
EE,2017,0.25
EE,2018,0.25
EE,2019,0.25
EE,2020,0.25
EE,2021,0.25
EE,2022,2.75
ES,2000,5.1
ES,2001,3.6
ES,2002,3.1
ES,2003,2.35
ES,2004,2.35
ES,2005,2.6
ES,2006,3.85
ES,2007,4.35
ES,2008,2.85
ES,2009,1.35
ES,2010,1.35
ES,2011,1.35
ES,2012,1.1
ES,2013,0.6
ES,2014,0.4000000007450581
ES,2015,0.4000000007450581
ES,2016,0.35
ES,2017,0.35
ES,2018,0.35
ES,2019,0.35
ES,2020,0.35
ES,2021,0.35
ES,2022,2.85
FI,2000,4.8
FI,2001,3.3
FI,2002,2.8
FI,2003,2.05
FI,2004,2.05
FI,2005,2.3
FI,2006,3.55
FI,2007,4.05
FI,2008,2.55
FI,2009,1.05
FI,2010,1.05
FI,2011,1.05
FI,2012,0.8
FI,2013,0.3
FI,2014,0.1000000007450581
